extKey,extOrderId,logisticsIds
duiba,177653428133053C0386,13564441
duiba,177653538225241C0386,13564450
duiba,177652105879977C0088,13564393
duiba,177652217028932C0176,13564398
duiba,177649924843979C0128,13564364
duiba,177652764385077C0286,13564428
duiba,177652378509478C0176,13564403
duiba,177649884998128C0128,13564362
duiba,177653480553612C0386,13564449
duiba,177650320156752C0559,13564373
duiba,177651623527289C0596,13564389
duiba,177653350538503C0113,13564438
duiba,177651208291589C0559,13564381
duiba,177651593118613C0462,13564388
duiba,177651162154287C0436,13564380
duiba,177653013937739C0827,13564433
duiba,177651474629637C0462,13564385
duiba,177652562001912C0103,13564407
duiba,177653200592277C0050,13564436
duiba,177653292866881C0474,13564437
duiba,177649941612987C0820,13564365
duiba,177651481977853C0682,13564386
duiba,177652348092615C0176,13564402
duiba,177652791648030C0278,13564429
duiba,177650962925037C0818,13564379
duiba,177653047492138C0113,13564434
duiba,177651691692852C0596,13564390
duiba,177653420784838C0275,13564440
duiba,177651836396203C0491,13564392
duiba,177652742356812C0103,13564427
duiba,177649893378537C0559,13564363
duiba,177652149920127C0176,13564395
duiba,177652882865862C0482,13564431
duiba,177653380938991C0594,13564439
duiba,177652818910977C0278,13564430
duiba,177652558856187C0176,13564406
duiba,177652490707003C0176,13564405
duiba,177652292526329C0104,13564400
duiba,177652181377377C0624,13564397
duiba,177652261060887C0624,13564399
duiba,177652335509717C0624,13564401
duiba,177651740975879C0241,13564391
duiba,177652383752352C0176,13564404
duiba,177650008721789C0209,13564371
